Transaction ID,User ID,Amount,Currency,Status
7,530,11141.77,USD,FLAGGED_FRAUD
20,352,39026.99,USD,FLAGGED_FRAUD
21,403,20019.25,USD,FLAGGED_FRAUD
22,310,28755.21,USD,FLAGGED_FRAUD
43,622,41404.43,USD,FLAGGED_FRAUD
47,992,40080.95,USD,FLAGGED_FRAUD
49,574,41463.20,USD,FLAGGED_FRAUD
53,536,14533.57,USD,FLAGGED_FRAUD
67,931,22891.50,USD,FLAGGED_FRAUD
79,128,35235.93,USD,FLAGGED_FRAUD
83,911,30584.29,USD,FLAGGED_FRAUD
88,530,19451.41,USD,FLAGGED_FRAUD
93,192,38578.65,USD,FLAGGED_FRAUD
110,324,34955.40,USD,FLAGGED_FRAUD
111,731,34029.55,USD,FLAGGED_FRAUD
122,282,49764.75,USD,FLAGGED_FRAUD
125,171,32419.16,USD,FLAGGED_FRAUD
140,673,39937.96,USD,FLAGGED_FRAUD
144,267,48878.53,USD,FLAGGED_FRAUD
148,527,44287.79,USD,FLAGGED_FRAUD
150,160,15389.84,USD,FLAGGED_FRAUD
153,301,15498.52,USD,FLAGGED_FRAUD
155,521,19341.47,USD,FLAGGED_FRAUD
175,607,12395.83,USD,FLAGGED_FRAUD
186,560,33210.27,USD,FLAGGED_FRAUD
187,105,48097.05,USD,FLAGGED_FRAUD
188,601,47521.78,USD,FLAGGED_FRAUD
189,889,43986.79,USD,FLAGGED_FRAUD
195,871,49333.30,USD,FLAGGED_FRAUD
197,168,18261.09,USD,FLAGGED_FRAUD
201,260,45704.40,USD,FLAGGED_FRAUD
211,402,48918.06,USD,FLAGGED_FRAUD
217,494,32095.90,USD,FLAGGED_FRAUD
222,936,26956.80,USD,FLAGGED_FRAUD
224,110,46787.51,USD,FLAGGED_FRAUD
244,459,37050.39,USD,FLAGGED_FRAUD
253,102,13715.23,USD,FLAGGED_FRAUD
256,191,18391.23,USD,FLAGGED_FRAUD
266,115,27944.83,USD,FLAGGED_FRAUD
276,318,34418.26,USD,FLAGGED_FRAUD
277,357,27283.55,USD,FLAGGED_FRAUD
286,410,46969.01,USD,FLAGGED_FRAUD
295,365,27230.46,USD,FLAGGED_FRAUD
304,192,45466.44,USD,FLAGGED_FRAUD
307,763,38507.61,USD,FLAGGED_FRAUD
310,610,43483.95,USD,FLAGGED_FRAUD
316,602,43477.91,USD,FLAGGED_FRAUD
323,581,34517.81,USD,FLAGGED_FRAUD
328,232,46258.28,USD,FLAGGED_FRAUD
334,789,38687.49,USD,FLAGGED_FRAUD
335,826,39978.45,USD,FLAGGED_FRAUD
346,926,39342.17,USD,FLAGGED_FRAUD
350,579,26869.73,USD,FLAGGED_FRAUD
379,228,10668.51,USD,FLAGGED_FRAUD
381,486,31519.00,USD,FLAGGED_FRAUD
396,541,45767.81,USD,FLAGGED_FRAUD
399,115,12969.13,USD,FLAGGED_FRAUD
412,754,44483.54,USD,FLAGGED_FRAUD
417,320,34684.96,USD,FLAGGED_FRAUD
418,301,36886.42,USD,FLAGGED_FRAUD
419,179,18119.54,USD,FLAGGED_FRAUD
420,713,29054.52,USD,FLAGGED_FRAUD
421,780,28813.73,USD,FLAGGED_FRAUD
433,719,26125.34,USD,FLAGGED_FRAUD
438,544,42292.93,USD,FLAGGED_FRAUD
445,733,18910.99,USD,FLAGGED_FRAUD
446,699,34699.20,USD,FLAGGED_FRAUD
456,878,23158.99,USD,FLAGGED_FRAUD
459,903,44817.60,USD,FLAGGED_FRAUD
460,378,46659.17,USD,FLAGGED_FRAUD
466,700,45077.57,USD,FLAGGED_FRAUD
468,982,36537.47,USD,FLAGGED_FRAUD
482,683,37632.12,USD,FLAGGED_FRAUD
492,537,34060.50,USD,FLAGGED_FRAUD
498,834,31595.47,USD,FLAGGED_FRAUD
512,344,38167.30,USD,FLAGGED_FRAUD
529,534,22249.97,USD,FLAGGED_FRAUD
538,814,10759.62,USD,FLAGGED_FRAUD
547,545,30702.35,USD,FLAGGED_FRAUD
582,973,22698.87,USD,FLAGGED_FRAUD
583,702,28602.62,USD,FLAGGED_FRAUD
590,518,13835.00,USD,FLAGGED_FRAUD
